timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1448546701628,830,ListingPage,200,OK,Thread Group 1-6,text,true,10279,7,7,826
1448546701880,589,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,7,7,585
1448546701511,1006,ListingPage,200,OK,Thread Group 1-3,text,true,10279,7,7,994
1448546702215,436,ListingFilterPAge,200,OK,Thread Group 1-5,text,true,1888,7,7,436
1448546702184,694,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,11947,7,7,681
1448546702338,702,HomePage,200,OK,Thread Group 1-7,text,true,9322,8,8,701
1448546702463,668,ListingFilterPAge,200,OK,Thread Group 1-6,text,true,1888,8,8,668
1448546702152,1305,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,8,8,1302
1448546702520,1063,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,8,8,1063
1448546702654,994,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,11947,8,8,993
1448546702502,1154,HomePage,200,OK,Thread Group 1-2,text,true,9322,8,8,1149
1448546702991,766,HomePage,200,OK,Thread Group 1-8,text,true,9322,8,8,765
1448546702905,870,HomePage,200,OK,Thread Group 1-4,text,true,9322,8,8,869
1448546703044,862,ListingPage,200,OK,Thread Group 1-7,text,true,10279,8,8,861
1448546703135,836,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,11947,8,8,830
1448546703491,530,HomePage,200,OK,Thread Group 1-1,text,true,9322,8,8,529
1448546703673,596,HomePage,200,OK,Thread Group 1-5,text,true,9322,8,8,582
1448546703674,725,ListingPage,200,OK,Thread Group 1-2,text,true,10279,8,8,716
1448546703909,666,ListingFilterPAge,200,OK,Thread Group 1-7,text,true,1888,8,8,666
1448546703587,1130,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,8,8,1120
1448546704079,756,HomePage,200,OK,Thread Group 1-6,text,true,9322,8,8,755
1448546703760,1086,ListingPage,200,OK,Thread Group 1-8,text,true,10279,8,8,1084
1448546704079,933,ListingPage,200,OK,Thread Group 1-1,text,true,10279,8,8,931
1448546704403,656,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,8,8,656
1448546703778,1303,ListingPage,200,OK,Thread Group 1-4,text,true,10279,8,8,1302
1448546704273,1046,ListingPage,200,OK,Thread Group 1-5,text,true,10279,8,8,1045
1448546704578,898,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,11947,8,8,896
1448546705017,595,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,8,8,595
1448546705085,634,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,8,8,634
1448546704721,1081,HomePage,200,OK,Thread Group 1-3,text,true,9322,8,8,1080
