country,usergroup,promotion_code,batch,promotion,promotion_type,discount_type,discount,startdate,enddate,issued_qty,not_used_qty,usage_qty,amount_of_orders
Online Shop,,geani-L6RH-B17D,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-BCG1-OU75,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-8YK4-XZA0,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-NIIK-0Z08,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-AYAF-E3I9,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-1D6A-5UQN,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-EQ0E-EIDI,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-MELO-J2Q6,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-L5I7-CN85,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-ETBX-TKM6,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-YCDK-Q6N6,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-70OW-C1M8,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-ZTG6-GBGF,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-UGRB-1CS1,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-HYZO-T4R1,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
