label,responseCode,responseMessage,threadName,success,grpThreads,allThreads,Latency
Honor 5X Details ,200,OK,Thread Group 1-35,true,44,44,186
AddToBasketPage,200,OK,Thread Group 1-14,true,45,45,320
Honor 5X Details ,200,OK,Thread Group 1-5,true,45,45,185
AddToBasketPage,200,OK,Thread Group 1-2,true,46,46,319
Honor 5X Details ,200,OK,Thread Group 1-25,true,46,46,191
UK Page,200,OK,Thread Group 1-41,true,46,46,245
AddToBasketPage,200,OK,Thread Group 1-34,true,46,46,330
AddToBasketPage,200,OK,Thread Group 1-33,true,46,46,350
Chekout-Auth,200,OK,Thread Group 1-27,true,46,46,407
Chekout-Auth,200,OK,Thread Group 1-1,true,46,46,411
Honor 5X Details ,200,OK,Thread Group 1-16,true,46,46,208
AddToBasketPage,200,OK,Thread Group 1-4,true,46,46,324
Chekout-Auth,200,OK,Thread Group 1-10,true,46,46,70
BasketPage,200,OK,Thread Group 1-32,true,46,46,76
Honor 5X Details ,200,OK,Thread Group 1-24,true,46,46,222
Honor 5X Details ,200,OK,Thread Group 1-23,true,46,46,273
Country Select,200,OK,Thread Group 1-9,true,46,46,356
Chekout-Auth,200,OK,Thread Group 1-12,true,46,46,460
Chekout-Auth,200,OK,Thread Group 1-17,true,46,46,460
Honor 5X Details ,200,OK,Thread Group 1-40,true,46,46,240
AddToBasketPage,200,OK,Thread Group 1-13,true,46,46,84
AddToBasketPage,200,OK,Thread Group 1-15,true,46,46,98
Country Select,200,OK,Thread Group 1-11,true,46,46,336
BasketPage,200,OK,Thread Group 1-30,true,46,46,165
BasketPage,200,OK,Thread Group 1-29,true,46,46,144
BasketPage,200,OK,Thread Group 1-21,true,47,47,144
BasketPage,200,OK,Thread Group 1-19,true,47,47,169
Chekout-Auth,200,OK,Thread Group 1-6,true,47,47,208
Chekout-Auth,200,OK,Thread Group 1-18,true,47,47,196
BasketPage,200,OK,Thread Group 1-22,true,47,47,177
